location,iso_code,population
Afghanistan,AFG,39835428
Africa,OWID_AFR,1373486472
Albania,ALB,2872934
Algeria,DZA,44616626
American Samoa,ASM,55103
Andorra,AND,77354
Angola,AGO,33933611
Anguilla,AIA,15125
Antigua and Barbuda,ATG,98728
Argentina,ARG,45605823
Armenia,ARM,2968128
Aruba,ABW,107195
Asia,OWID_ASI,4678444992
Australia,AUS,25788217
Austria,AUT,9043072
Azerbaijan,AZE,10223344
Bahamas,BHS,396914
Bahrain,BHR,1748295
Bangladesh,BGD,166303494
Barbados,BRB,287708
Belarus,BLR,9442867
Belgium,BEL,11632334
Belize,BLZ,404915
Benin,BEN,12451031
Bermuda,BMU,62092
Bhutan,BTN,779900
Bolivia,BOL,11832936
Bonaire Sint Eustatius and Saba,BES,26445
Bosnia and Herzegovina,BIH,3263459
Botswana,BWA,2397240
Brazil,BRA,213993441
British Virgin Islands,VGB,30423
Brunei,BRN,441532
Bulgaria,BGR,6896655
Burkina Faso,BFA,21497097
Burundi,BDI,12255429
Cambodia,KHM,16946446
Cameroon,CMR,27224262
Canada,CAN,38067913
Cape Verde,CPV,561901
Cayman Islands,CYM,66498
Central African Republic,CAF,4919987
Chad,TCD,16914985
Channel Islands,OWID_CIS,175244
Chile,CHL,19212362
China,CHN,1444216102
Colombia,COL,51265841
Comoros,COM,888456
Congo,COG,5657017
Cook Islands,COK,17572
Costa Rica,CRI,5139053
Cote d'Ivoire,CIV,27053629
Croatia,HRV,4081657
Cuba,CUB,11317498
Curacao,CUW,164796
Cyprus,CYP,896005
Czechia,CZE,10724553
Democratic Republic of Congo,COD,92377986
Denmark,DNK,5813302
Djibouti,DJI,1002197
Dominica,DMA,72172
Dominican Republic,DOM,10953714
Ecuador,ECU,17888474
Egypt,EGY,104258327
El Salvador,SLV,6518500
Equatorial Guinea,GNQ,1449891
Eritrea,ERI,3601462
Estonia,EST,1325188
Eswatini,SWZ,1172369
Ethiopia,ETH,117876226
Europe,OWID_EUR,748962983
European Union,OWID_EUN,447189915
Faeroe Islands,FRO,49053
Falkland Islands,FLK,3528
Fiji,FJI,902899
Finland,FIN,5548361
France,FRA,67422000
French Polynesia,PYF,282534
Gabon,GAB,2278829
Gambia,GMB,2486937
Georgia,GEO,3979773
Germany,DEU,83900471
Ghana,GHA,31732128
Gibraltar,GIB,33691
Greece,GRC,10370747
Greenland,GRL,56868
Grenada,GRD,113015
Guam,GUM,170184
Guatemala,GTM,18249868
Guernsey,GGY,63385
Guinea,GIN,13497237
Guinea-Bissau,GNB,2015490
Guyana,GUY,790329
Haiti,HTI,11541683
High income,OWID_HIC,1214930230
Honduras,HND,10062994
Hong Kong,HKG,7552800
